Date,Time,pH,NTU,Temperature(C),
20/04/2025,19:23:15,8.59,70,27.94,Safe
20/04/2025,19:23:16,8.59,70,27.94,Safe
20/04/2025,19:23:18,8.58,70,27.94,Safe
20/04/2025,19:23:19,8.58,70,28,Safe
20/04/2025,19:23:21,8.58,70,27.94,Safe
20/04/2025,19:23:23,8.59,70,27.94,Safe
20/04/2025,19:23:24,8.6,70,27.94,Safe
20/04/2025,19:23:26,8.6,70,27.94,Safe
20/04/2025,19:23:27,8.59,70,27.94,Safe
20/04/2025,19:23:29,8.6,70,27.94,Safe
20/04/2025,19:23:31,8.6,70,27.94,Safe
20/04/2025,19:23:32,8.6,70,27.94,Safe
20/04/2025,19:23:34,8.6,70,28,Safe
20/04/2025,19:23:36,8.61,70,27.94,Safe
20/04/2025,19:23:37,8.6,70,27.94,Safe
20/04/2025,19:23:39,8.59,70,27.94,Safe
20/04/2025,19:23:40,8.6,70,27.94,Safe
20/04/2025,19:23:42,8.6,70,27.94,Safe
20/04/2025,19:23:44,8.6,70,28,Safe
20/04/2025,19:23:45,8.6,70,28,Safe
20/04/2025,19:23:47,8.6,70,27.94,Safe
20/04/2025,19:23:48,8.59,70,28,Safe
20/04/2025,19:23:50,8.6,70,28,Safe
20/04/2025,19:23:52,8.6,70,28,Safe
20/04/2025,19:23:53,8.6,70,28,Safe
20/04/2025,19:23:55,8.6,70,28,Safe
20/04/2025,19:23:56,8.6,70,27.94,Safe
20/04/2025,19:23:58,8.59,70,28,Safe
20/04/2025,19:24:00,8.46,70,28,Safe
20/04/2025,19:24:01,8.05,70,28,Safe
20/04/2025,19:24:03,7.67,70,28.06,Safe
20/04/2025,19:24:05,7.29,70,28.06,Safe
20/04/2025,19:24:06,6.91,70,28.06,Safe
20/04/2025,19:24:08,6.51,70,28.06,Safe
20/04/2025,19:24:09,6.12,70,28.06,Safe
20/04/2025,19:24:11,5.81,70,28.12,Signs of Water Pollution
20/04/2025,19:24:13,5.56,70,28.06,Signs of Water Pollution
20/04/2025,19:24:14,5.35,70,28.06,Signs of Water Pollution
20/04/2025,19:24:16,5.19,70,28.06,Signs of Water Pollution
20/04/2025,19:24:17,5.06,70,28.12,Signs of Water Pollution
20/04/2025,19:24:19,4.95,70,28.12,Signs of Water Pollution
20/04/2025,19:24:21,4.86,70,28.12,Signs of Water Pollution
20/04/2025,19:24:22,4.79,70,28.12,Signs of Water Pollution
20/04/2025,19:24:24,4.72,70,28.12,Signs of Water Pollution
20/04/2025,19:24:25,4.68,70,28.12,Signs of Water Pollution
20/04/2025,19:24:27,4.63,70,28.12,Signs of Water Pollution
20/04/2025,19:24:29,4.59,70,28.12,Signs of Water Pollution
20/04/2025,19:24:30,4.55,70,28.12,Signs of Water Pollution
20/04/2025,19:24:32,4.52,70,28.19,Signs of Water Pollution
20/04/2025,19:24:34,4.5,70,28.19,Signs of Water Pollution
20/04/2025,19:24:35,4.46,70,28.12,Signs of Water Pollution
20/04/2025,19:24:37,4.44,70,28.19,Signs of Water Pollution
20/04/2025,19:24:38,4.41,70,28.19,Signs of Water Pollution
20/04/2025,19:24:40,4.39,70,28.19,Signs of Water Pollution
20/04/2025,19:24:42,4.38,70,28.19,Signs of Water Pollution
20/04/2025,19:24:43,4.35,70,28.19,Signs of Water Pollution
20/04/2025,19:24:45,4.33,70,28.12,Signs of Water Pollution
20/04/2025,19:24:46,4.31,70,28.19,Signs of Water Pollution
20/04/2025,19:24:48,4.29,70,28.19,Signs of Water Pollution
20/04/2025,19:24:50,4.26,70,28.19,Signs of Water Pollution
20/04/2025,19:24:51,4.24,70,28.19,Signs of Water Pollution
20/04/2025,19:24:53,4.23,70,28.19,Signs of Water Pollution
20/04/2025,19:24:54,4.2,70,28.19,Signs of Water Pollution
20/04/2025,19:24:56,4.19,70,28.19,Signs of Water Pollution
20/04/2025,19:24:58,4.18,70,28.19,Signs of Water Pollution
20/04/2025,19:24:59,4.16,70,28.19,Signs of Water Pollution
20/04/2025,19:25:01,4.15,70,28.19,Signs of Water Pollution
20/04/2025,19:25:03,4.12,70,28.19,Signs of Water Pollution
20/04/2025,19:25:04,4.11,70,28.19,Signs of Water Pollution
20/04/2025,19:25:06,4.1,70,28.19,Signs of Water Pollution
20/04/2025,19:25:07,4.08,70,28.19,Signs of Water Pollution
20/04/2025,19:25:09,4.07,70,28.19,Signs of Water Pollution
20/04/2025,19:25:11,4.05,70,28.25,Signs of Water Pollution
20/04/2025,19:25:12,4.03,70,28.19,Signs of Water Pollution
20/04/2025,19:25:14,4.02,70,28.25,Signs of Water Pollution
20/04/2025,19:25:15,4.01,70,28.19,Signs of Water Pollution
20/04/2025,19:25:17,3.99,70,28.19,Pollution
20/04/2025,19:25:19,3.98,70,28.19,Pollution
20/04/2025,19:25:20,3.97,70,28.19,Pollution
20/04/2025,19:25:22,3.96,70,28.19,Pollution
20/04/2025,19:25:23,3.94,70,28.25,Pollution
20/04/2025,19:25:25,3.92,70,28.25,Pollution
20/04/2025,19:25:27,3.92,70,28.25,Pollution
20/04/2025,19:25:28,3.9,70,28.25,Pollution
20/04/2025,19:25:30,3.89,70,28.25,Pollution
20/04/2025,19:25:32,3.88,70,28.25,Pollution
20/04/2025,19:25:33,3.87,70,28.25,Pollution
20/04/2025,19:25:35,3.86,70,28.25,Pollution
20/04/2025,19:25:36,3.84,70,28.25,Pollution
20/04/2025,19:25:38,3.83,70,28.19,Pollution
20/04/2025,19:25:40,3.82,70,28.19,Pollution
20/04/2025,19:25:41,3.81,70,28.25,Pollution
20/04/2025,19:25:43,3.8,70,28.19,Pollution
20/04/2025,19:25:44,3.78,70,28.25,Pollution
20/04/2025,19:25:46,3.77,70,28.25,Pollution
20/04/2025,19:25:48,3.76,70,28.25,Pollution
20/04/2025,19:25:49,3.75,70,28.25,Pollution
20/04/2025,19:25:51,3.74,70,28.25,Pollution
20/04/2025,19:25:52,3.73,70,28.25,Pollution
20/04/2025,19:25:54,3.72,70,28.25,Pollution
20/04/2025,19:25:56,3.7,70,28.25,Pollution
20/04/2025,19:25:57,3.69,70,28.25,Pollution
20/04/2025,19:25:59,3.68,70,28.25,Pollution
20/04/2025,19:26:01,3.68,70,28.25,Pollution
20/04/2025,19:26:02,3.67,70,28.25,Pollution
20/04/2025,19:26:04,3.65,70,28.25,Pollution
20/04/2025,19:26:05,3.64,70,28.25,Pollution
20/04/2025,19:26:07,3.63,70,28.25,Pollution
20/04/2025,19:26:09,3.62,70,28.25,Pollution
20/04/2025,19:26:10,3.61,70,28.31,Pollution
20/04/2025,19:26:12,3.6,70,28.31,Pollution
20/04/2025,19:26:13,3.58,70,28.31,Pollution
20/04/2025,19:26:15,3.58,70,28.31,Pollution
20/04/2025,19:26:17,3.56,70,28.31,Pollution
20/04/2025,19:26:18,3.56,70,28.31,Pollution
20/04/2025,19:26:20,3.55,70,28.31,Pollution
20/04/2025,19:26:21,3.54,70,28.31,Pollution
20/04/2025,19:26:23,3.53,70,28.31,Pollution
20/04/2025,19:26:25,3.52,70,28.31,Pollution
20/04/2025,19:26:26,3.51,70,28.31,Pollution
20/04/2025,19:26:28,3.5,70,28.31,Pollution
20/04/2025,19:26:30,3.49,70,28.37,Pollution
20/04/2025,19:26:31,3.48,70,28.31,Pollution
20/04/2025,19:26:33,3.47,70,28.31,Pollution
20/04/2025,19:26:34,3.47,70,28.31,Pollution
20/04/2025,19:26:36,3.45,70,28.31,Pollution
20/04/2025,19:26:38,3.44,70,28.31,Pollution
20/04/2025,19:26:39,3.44,70,28.31,Pollution
20/04/2025,19:26:41,3.43,70,28.31,Pollution
20/04/2025,19:26:42,3.42,70,28.31,Pollution
20/04/2025,19:26:44,3.41,70,28.31,Pollution
20/04/2025,19:26:46,3.4,70,28.31,Pollution
20/04/2025,19:26:47,3.4,70,28.37,Pollution
20/04/2025,19:26:49,3.39,70,28.31,Pollution
20/04/2025,19:26:51,3.38,70,28.31,Pollution
20/04/2025,19:26:52,3.38,70,28.37,Pollution
20/04/2025,19:26:54,3.37,70,28.31,Pollution
20/04/2025,19:26:55,3.36,70,28.31,Pollution
20/04/2025,19:26:57,3.35,70,28.37,Pollution
20/04/2025,19:26:59,3.34,70,28.37,Pollution
20/04/2025,19:27:00,3.33,70,28.31,Pollution
20/04/2025,19:27:02,3.33,70,28.31,Pollution
20/04/2025,19:27:03,3.32,70,28.31,Pollution
20/04/2025,19:27:05,3.3,70,28.37,Pollution
20/04/2025,19:27:07,3.31,70,28.37,Pollution
20/04/2025,19:27:08,3.3,70,28.31,Pollution
20/04/2025,19:27:10,3.29,70,28.31,Pollution
20/04/2025,19:27:11,3.28,70,28.37,Pollution
20/04/2025,19:27:13,3.28,70,28.37,Pollution
20/04/2025,19:27:15,3.27,70,28.31,Pollution
20/04/2025,19:27:16,3.26,70,28.37,Pollution
20/04/2025,19:27:18,3.26,70,28.37,Pollution
20/04/2025,19:27:20,3.26,70,28.31,Pollution
20/04/2025,19:27:21,3.24,70,28.37,Pollution
20/04/2025,19:27:23,3.23,70,28.31,Pollution
20/04/2025,19:27:24,3.23,70,28.31,Pollution
20/04/2025,19:27:26,3.22,70,28.37,Pollution
20/04/2025,19:27:28,3.22,70,28.31,Pollution
20/04/2025,19:27:29,3.21,70,28.31,Pollution
20/04/2025,19:27:31,3.2,70,28.37,Pollution
20/04/2025,19:27:32,3.2,70,28.37,Pollution
20/04/2025,19:27:34,3.19,70,28.31,Pollution
20/04/2025,19:27:36,3.19,70,28.37,Pollution
20/04/2025,19:27:37,3.18,70,28.31,Pollution
20/04/2025,19:27:39,3.17,70,28.37,Pollution
20/04/2025,19:27:40,3.17,70,28.37,Pollution
20/04/2025,19:27:42,3.17,70,28.37,Pollution
20/04/2025,19:27:44,3.16,70,28.37,Pollution
20/04/2025,19:27:45,3.15,70,28.37,Pollution
20/04/2025,19:27:47,3.15,70,28.37,Pollution
20/04/2025,19:27:49,3.14,70,28.37,Pollution
20/04/2025,19:27:50,3.14,70,28.37,Pollution
20/04/2025,19:27:52,3.13,70,28.37,Pollution
20/04/2025,19:27:53,3.13,70,28.37,Pollution
20/04/2025,19:27:55,3.13,70,28.44,Pollution
20/04/2025,19:27:57,3.12,70,28.37,Pollution
20/04/2025,19:27:58,3.12,70,28.44,Pollution
20/04/2025,19:28:00,3.12,70,28.44,Pollution
20/04/2025,19:28:01,3.1,70,28.37,Pollution
20/04/2025,19:28:03,3.1,70,28.44,Pollution
20/04/2025,19:28:05,3.1,70,28.44,Pollution
20/04/2025,19:28:06,3.09,70,28.44,Pollution
20/04/2025,19:28:08,3.08,70,28.44,Pollution
20/04/2025,19:28:09,3.08,70,28.44,Pollution
20/04/2025,19:28:11,3.07,70,28.44,Pollution
20/04/2025,19:28:13,3.08,70,28.44,Pollution
20/04/2025,19:28:14,3.07,70,28.44,Pollution
20/04/2025,19:28:16,3.06,70,28.44,Pollution
20/04/2025,19:28:18,3.05,70,28.5,Pollution
20/04/2025,19:28:19,3.05,70,28.44,Pollution
20/04/2025,19:28:21,3.05,70,28.44,Pollution
20/04/2025,19:28:22,3.05,70,28.44,Pollution
20/04/2025,19:28:24,3.04,70,28.44,Pollution
20/04/2025,19:28:26,3.04,70,28.44,Pollution
20/04/2025,19:28:27,3.04,70,28.44,Pollution
20/04/2025,19:28:29,3.04,70,28.44,Pollution
20/04/2025,19:28:30,3.03,70,28.44,Pollution
20/04/2025,19:28:32,3.03,70,28.44,Pollution
20/04/2025,19:28:34,3.02,70,28.44,Pollution
20/04/2025,19:28:35,3.01,80,28.44,Pollution
20/04/2025,19:28:37,2.61,70,28.44,Pollution
20/04/2025,19:28:38,3.47,70,28.5,Pollution
20/04/2025,19:28:40,3.87,70,28.5,Pollution
20/04/2025,19:28:42,4.12,80,28.5,Signs of Water Pollution
20/04/2025,19:28:43,4.28,80,28.5,Signs of Water Pollution
20/04/2025,19:28:45,4.4,80,28.5,Signs of Water Pollution
20/04/2025,19:28:47,4.49,70,28.5,Signs of Water Pollution
20/04/2025,19:28:48,4.56,70,28.5,Signs of Water Pollution
20/04/2025,19:28:50,4.61,80,28.5,Signs of Water Pollution
20/04/2025,19:28:51,4.66,80,28.5,Signs of Water Pollution
20/04/2025,19:28:53,4.7,80,28.5,Signs of Water Pollution
20/04/2025,19:28:55,4.73,80,28.5,Signs of Water Pollution
20/04/2025,19:28:56,4.76,80,28.56,Signs of Water Pollution
20/04/2025,19:28:58,4.78,80,28.56,Signs of Water Pollution
20/04/2025,19:28:59,4.79,80,28.56,Signs of Water Pollution
20/04/2025,19:29:01,4.8,80,28.56,Signs of Water Pollution
20/04/2025,19:29:03,4.81,80,28.62,Signs of Water Pollution
20/04/2025,19:29:04,4.81,80,28.56,Signs of Water Pollution
20/04/2025,19:29:06,4.82,80,28.56,Signs of Water Pollution
20/04/2025,19:29:07,4.82,80,28.62,Signs of Water Pollution
20/04/2025,19:29:09,4.83,80,28.56,Signs of Water Pollution
20/04/2025,19:29:11,4.82,80,28.62,Signs of Water Pollution
20/04/2025,19:29:12,4.83,80,28.62,Signs of Water Pollution
20/04/2025,19:29:14,4.83,80,28.62,Signs of Water Pollution
20/04/2025,19:29:16,4.83,80,28.62,Signs of Water Pollution
20/04/2025,19:29:17,4.83,80,28.62,Signs of Water Pollution
20/04/2025,19:29:19,4.83,80,28.62,Signs of Water Pollution
20/04/2025,19:29:20,4.82,80,28.62,Signs of Water Pollution
20/04/2025,19:29:22,4.82,80,28.62,Signs of Water Pollution
20/04/2025,19:29:24,4.82,80,28.62,Signs of Water Pollution
20/04/2025,19:29:25,4.82,80,28.62,Signs of Water Pollution
20/04/2025,19:29:27,4.82,80,28.62,Signs of Water Pollution
20/04/2025,19:29:28,4.81,70,28.62,Signs of Water Pollution
20/04/2025,19:29:30,4.8,80,28.69,Signs of Water Pollution
20/04/2025,19:29:32,4.8,80,28.62,Signs of Water Pollution
20/04/2025,19:29:33,4.79,80,28.62,Signs of Water Pollution
20/04/2025,19:29:35,4.79,80,28.62,Signs of Water Pollution
20/04/2025,19:29:37,4.79,80,28.69,Signs of Water Pollution
20/04/2025,19:29:38,4.78,80,28.69,Signs of Water Pollution
20/04/2025,19:29:40,4.77,80,28.69,Signs of Water Pollution
20/04/2025,19:29:41,4.77,80,28.69,Signs of Water Pollution
20/04/2025,19:29:43,4.76,80,28.69,Signs of Water Pollution
20/04/2025,19:29:45,4.75,80,28.69,Signs of Water Pollution
20/04/2025,19:29:46,4.74,80,28.69,Signs of Water Pollution
20/04/2025,19:29:48,4.74,80,28.69,Signs of Water Pollution
20/04/2025,19:29:49,4.74,80,28.69,Signs of Water Pollution
20/04/2025,19:29:51,4.72,80,28.69,Signs of Water Pollution
20/04/2025,19:29:53,4.71,80,28.69,Signs of Water Pollution
20/04/2025,19:29:54,4.7,80,28.69,Signs of Water Pollution
20/04/2025,19:29:56,4.7,80,28.69,Signs of Water Pollution
20/04/2025,19:29:57,4.69,80,28.62,Signs of Water Pollution
20/04/2025,19:29:59,4.68,80,28.62,Signs of Water Pollution
20/04/2025,19:30:01,4.67,80,28.69,Signs of Water Pollution
20/04/2025,19:30:02,4.65,80,28.69,Signs of Water Pollution
20/04/2025,19:30:04,4.65,80,28.62,Signs of Water Pollution
20/04/2025,19:30:06,4.64,80,28.69,Signs of Water Pollution
20/04/2025,19:30:07,4.63,80,28.69,Signs of Water Pollution
20/04/2025,19:30:09,4.63,80,28.69,Signs of Water Pollution
20/04/2025,19:30:10,4.62,80,28.69,Signs of Water Pollution
20/04/2025,19:30:12,4.61,80,28.69,Signs of Water Pollution
20/04/2025,19:30:14,4.6,80,28.62,Signs of Water Pollution
20/04/2025,19:30:15,4.6,80,28.69,Signs of Water Pollution
20/04/2025,19:30:17,4.59,80,28.69,Signs of Water Pollution
20/04/2025,19:30:18,4.58,80,28.69,Signs of Water Pollution
20/04/2025,19:30:20,4.57,80,28.69,Signs of Water Pollution
20/04/2025,19:30:22,4.57,80,28.69,Signs of Water Pollution
20/04/2025,19:30:23,4.56,80,28.69,Signs of Water Pollution
20/04/2025,19:30:25,4.55,80,28.69,Signs of Water Pollution
20/04/2025,19:30:26,4.55,80,28.69,Signs of Water Pollution
20/04/2025,19:30:28,4.54,80,28.69,Signs of Water Pollution
20/04/2025,19:30:30,4.53,80,28.69,Signs of Water Pollution
20/04/2025,19:30:31,4.52,80,28.69,Signs of Water Pollution
20/04/2025,19:30:33,4.52,80,28.69,Signs of Water Pollution
20/04/2025,19:30:35,4.51,80,28.75,Signs of Water Pollution
20/04/2025,19:30:36,4.51,80,28.69,Signs of Water Pollution
20/04/2025,19:30:38,4.5,80,28.75,Signs of Water Pollution
20/04/2025,19:30:39,4.5,80,28.69,Signs of Water Pollution
20/04/2025,19:30:41,4.49,80,28.75,Signs of Water Pollution
20/04/2025,19:30:43,4.48,80,28.69,Signs of Water Pollution
20/04/2025,19:30:44,4.48,80,28.69,Signs of Water Pollution
20/04/2025,19:30:46,4.48,80,28.75,Signs of Water Pollution
20/04/2025,19:30:47,4.47,80,28.75,Signs of Water Pollution
