Date,Time,pH,NTU,Temperature(C)
20/04/2025,19:43:01,4.71,100,31.06
20/04/2025,19:43:02,4.74,100,31.12
20/04/2025,19:43:04,4.77,100,31.19
20/04/2025,19:43:06,4.8,330,31.25
20/04/2025,19:43:07,4.83,340,31.25
20/04/2025,19:43:09,4.87,350,31.31
20/04/2025,19:43:10,4.91,370,31.31
20/04/2025,19:43:12,4.95,380,31.37
20/04/2025,19:43:14,5,420,31.37
20/04/2025,19:43:15,5.04,430,31.37
20/04/2025,19:43:17,5.08,440,31.44
20/04/2025,19:43:19,5.13,390,31.44
20/04/2025,19:43:20,5.18,370,31.44
20/04/2025,19:43:22,5.22,360,31.44
20/04/2025,19:43:23,5.26,330,31.44
20/04/2025,19:43:25,5.31,310,31.44
20/04/2025,19:43:27,5.35,230,31.44
20/04/2025,19:43:28,5.38,220,31.44
20/04/2025,19:43:30,5.42,170,31.44
20/04/2025,19:43:31,5.47,170,31.44
20/04/2025,19:43:33,5.51,130,31.5
20/04/2025,19:43:35,5.55,110,31.44
20/04/2025,19:43:36,5.58,110,31.44
20/04/2025,19:43:38,5.62,110,31.5
20/04/2025,19:43:40,5.65,100,31.44
20/04/2025,19:43:41,5.68,110,31.44
20/04/2025,19:43:43,5.73,110,31.5
20/04/2025,19:43:44,5.76,110,31.44
20/04/2025,19:43:46,5.78,100,31.44
20/04/2025,19:43:48,5.82,110,31.44
20/04/2025,19:43:49,5.84,110,31.44
20/04/2025,19:43:51,5.87,110,31.44
20/04/2025,19:43:52,5.9,110,31.44
20/04/2025,19:43:54,5.93,110,31.44
20/04/2025,19:43:56,5.96,110,31.44
20/04/2025,19:43:57,5.98,110,31.37
20/04/2025,19:43:59,6.01,110,31.37
20/04/2025,19:44:00,6.03,110,31.44
20/04/2025,19:44:02,6.06,110,31.37
20/04/2025,19:44:04,6.07,110,31.44
20/04/2025,19:44:05,6.1,110,31.44
20/04/2025,19:44:07,6.12,110,31.44
20/04/2025,19:44:09,6.14,110,31.44
20/04/2025,19:44:10,6.17,110,31.37
20/04/2025,19:44:12,6.18,110,31.37
20/04/2025,19:44:13,6.2,110,31.37
20/04/2025,19:44:15,6.22,110,31.37
20/04/2025,19:44:17,6.23,110,31.37
20/04/2025,19:44:18,6.25,110,31.37
20/04/2025,19:44:20,6.27,110,31.37
20/04/2025,19:44:21,6.28,110,31.37
20/04/2025,19:44:23,6.31,110,31.37
20/04/2025,19:44:25,6.32,110,31.37
20/04/2025,19:44:26,6.33,110,31.37
20/04/2025,19:44:28,6.34,110,31.37
20/04/2025,19:44:29,6.35,110,31.37
20/04/2025,19:44:31,6.37,110,31.31
20/04/2025,19:44:33,6.38,110,31.31
20/04/2025,19:44:34,6.39,110,31.31
20/04/2025,19:44:36,6.41,110,31.31
20/04/2025,19:44:38,6.42,110,31.31
20/04/2025,19:44:39,6.43,110,31.31
20/04/2025,19:44:41,6.44,110,31.31
20/04/2025,19:44:42,6.45,110,31.37
20/04/2025,19:44:44,6.46,110,31.31
20/04/2025,19:44:46,6.47,110,31.31
20/04/2025,19:44:47,6.48,110,31.37
20/04/2025,19:44:49,6.49,110,31.31
20/04/2025,19:44:50,6.5,110,31.31
20/04/2025,19:44:52,6.51,110,31.31
20/04/2025,19:44:54,6.51,110,31.31
