Date,Time,pH,NTU,Temperature(C)
20/04/2025,20:16:45,7.43,160,31.87
20/04/2025,20:16:47,7.43,170,31.87
20/04/2025,20:16:48,7.44,160,31.94
20/04/2025,20:16:50,7.45,160,31.94
20/04/2025,20:16:52,7.45,160,32
20/04/2025,20:16:53,7.45,160,32
20/04/2025,20:16:55,7.47,160,32
20/04/2025,20:16:56,7.47,170,32
20/04/2025,20:16:58,7.47,160,32.06
20/04/2025,20:17:00,7.48,160,32.06
20/04/2025,20:17:01,7.49,160,32.06
20/04/2025,20:17:03,7.49,160,32.06
20/04/2025,20:17:05,7.49,170,32.06
20/04/2025,20:17:06,7.5,160,32.06
20/04/2025,20:17:08,7.5,160,32.06
20/04/2025,20:17:09,7.5,160,32.06
20/04/2025,20:17:11,7.5,160,32.06
20/04/2025,20:17:13,7.5,160,32.06
20/04/2025,20:17:14,7.5,160,32.13
20/04/2025,20:17:16,7.51,160,32.06
20/04/2025,20:17:17,7.51,160,32.13
20/04/2025,20:17:19,7.52,160,32.13
20/04/2025,20:17:21,7.52,160,32.13
20/04/2025,20:17:22,7.52,160,32.13
20/04/2025,20:17:24,7.52,160,32.13
20/04/2025,20:17:26,7.53,160,32.13
20/04/2025,20:17:27,7.53,160,32.13
20/04/2025,20:17:29,7.53,160,32.13
20/04/2025,20:17:30,7.52,160,32.13
20/04/2025,20:17:32,7.53,160,32.13
20/04/2025,20:17:34,7.54,160,32.13
20/04/2025,20:17:35,7.53,160,32.13
20/04/2025,20:17:37,7.54,160,32.13
20/04/2025,20:17:38,7.53,160,32.13
20/04/2025,20:17:40,7.54,160,32.13
20/04/2025,20:17:42,7.54,160,32.13
20/04/2025,20:17:43,7.54,160,32.13
20/04/2025,20:17:45,7.54,160,32.13
20/04/2025,20:17:46,7.54,160,32.13
20/04/2025,20:17:48,7.54,160,32.06
20/04/2025,20:17:50,7.55,160,32.06
20/04/2025,20:17:51,7.54,160,32.06
20/04/2025,20:17:53,7.55,160,32.06
20/04/2025,20:17:55,7.55,160,32.06
20/04/2025,20:17:56,7.55,160,32.06
20/04/2025,20:17:58,7.55,160,32.06
20/04/2025,20:17:59,7.55,160,32.06
20/04/2025,20:18:01,7.56,160,32.06
20/04/2025,20:18:03,7.56,160,32.06
20/04/2025,20:18:04,7.55,160,32.13
20/04/2025,20:18:06,7.55,160,32.13
20/04/2025,20:18:07,7.55,160,32.06
20/04/2025,20:18:09,7.56,160,32.06
20/04/2025,20:18:11,7.56,160,32.06
20/04/2025,20:18:12,7.56,160,32.06
20/04/2025,20:18:14,7.56,160,32.06
20/04/2025,20:18:15,7.56,160,32.06
20/04/2025,20:18:17,7.56,160,32.06
20/04/2025,20:18:19,7.56,160,32.06
20/04/2025,20:18:20,7.56,160,32.13
20/04/2025,20:18:22,7.56,160,32.13
20/04/2025,20:18:24,7.57,160,32.06
20/04/2025,20:18:25,7.57,160,32.13
20/04/2025,20:18:27,7.56,160,32.13
20/04/2025,20:18:28,7.56,160,32.13
20/04/2025,20:18:30,7.56,160,32.06
20/04/2025,20:18:32,7.56,160,32.06
20/04/2025,20:18:33,7.56,160,32.06
20/04/2025,20:18:35,7.56,160,32.06
20/04/2025,20:18:36,7.56,160,32.06
20/04/2025,20:18:38,7.56,160,32.06
20/04/2025,20:18:40,7.57,160,32.06
20/04/2025,20:18:41,7.56,160,32.06
20/04/2025,20:18:43,7.57,160,32.06
20/04/2025,20:18:45,7.56,160,32.06
20/04/2025,20:18:46,7.57,160,32.06
20/04/2025,20:18:48,7.56,160,32.06
20/04/2025,20:18:49,7.56,160,32.06
20/04/2025,20:18:51,7.57,170,32.06
20/04/2025,20:18:53,7.57,160,32.06
20/04/2025,20:18:54,7.56,160,32.06
20/04/2025,20:18:56,7.56,160,32.06
20/04/2025,20:18:57,7.56,160,32.06
20/04/2025,20:18:59,7.57,160,32.06
20/04/2025,20:19:01,7.56,160,32.06
20/04/2025,20:19:02,7.57,160,32.06
20/04/2025,20:19:04,7.56,160,32.06
20/04/2025,20:19:05,7.56,160,32.06
20/04/2025,20:19:07,7.57,160,32
20/04/2025,20:19:09,7.56,160,32
20/04/2025,20:19:10,7.56,160,32.06
20/04/2025,20:19:12,7.56,160,32
20/04/2025,20:19:14,7.56,160,32
20/04/2025,20:19:15,7.56,160,32
20/04/2025,20:19:17,7.56,160,32
20/04/2025,20:19:18,7.57,160,32
20/04/2025,20:19:20,7.56,160,32.06
20/04/2025,20:19:22,7.56,160,32
20/04/2025,20:19:23,7.56,160,32
20/04/2025,20:19:25,7.57,160,32
20/04/2025,20:19:26,7.56,160,32
20/04/2025,20:19:28,7.56,160,32
20/04/2025,20:19:30,7.57,160,32
20/04/2025,20:19:31,7.57,160,32
20/04/2025,20:19:33,7.56,160,32
20/04/2025,20:19:34,7.56,160,32
20/04/2025,20:19:36,7.56,160,32
20/04/2025,20:19:38,7.56,160,32
20/04/2025,20:19:39,7.56,160,32
20/04/2025,20:19:41,7.56,160,32
20/04/2025,20:19:43,7.57,160,32
20/04/2025,20:19:44,7.56,160,32
20/04/2025,20:19:46,7.57,160,32
20/04/2025,20:19:47,7.56,170,32
20/04/2025,20:19:49,7.56,160,32
20/04/2025,20:19:51,7.57,160,32
20/04/2025,20:19:52,7.56,160,32
20/04/2025,20:19:54,7.56,160,32
20/04/2025,20:19:55,7.56,160,32
20/04/2025,20:19:57,7.56,160,32
20/04/2025,20:19:59,7.56,160,32
20/04/2025,20:20:00,7.56,160,32
20/04/2025,20:20:02,7.56,160,32
20/04/2025,20:20:03,7.56,160,32
20/04/2025,20:20:05,7.56,160,32
20/04/2025,20:20:07,7.56,160,32
20/04/2025,20:20:08,7.56,160,31.94
20/04/2025,20:20:10,7.55,160,31.94
20/04/2025,20:20:12,7.56,160,31.94
20/04/2025,20:20:13,7.56,160,32
20/04/2025,20:20:15,7.56,160,31.94
20/04/2025,20:20:16,7.56,160,31.94
20/04/2025,20:20:18,7.56,160,32
20/04/2025,20:20:20,7.55,160,31.94
20/04/2025,20:20:21,7.56,160,31.94
20/04/2025,20:20:23,7.56,160,31.94
20/04/2025,20:20:24,7.56,160,32
20/04/2025,20:20:26,7.56,160,31.94
20/04/2025,20:20:28,7.56,160,31.94
20/04/2025,20:20:29,7.55,160,31.94
