Date,Time,pH,NTU,Temperature(C)
20/04/2025,20:33:27,7.51,490,31.81
20/04/2025,20:33:29,7.52,450,31.81
20/04/2025,20:33:31,7.51,420,31.87
20/04/2025,20:33:32,7.51,470,31.87
20/04/2025,20:33:34,7.51,430,31.87
20/04/2025,20:33:35,7.51,440,31.87
20/04/2025,20:33:37,7.51,440,31.94
20/04/2025,20:33:39,7.51,450,31.87
20/04/2025,20:33:40,7.52,410,31.87
20/04/2025,20:33:42,7.52,460,31.94
20/04/2025,20:33:43,7.51,410,31.94
20/04/2025,20:33:45,7.52,380,31.94
20/04/2025,20:33:47,7.52,420,31.94
20/04/2025,20:33:48,7.51,410,31.94
20/04/2025,20:33:50,7.51,410,31.94
20/04/2025,20:33:52,7.51,390,31.94
20/04/2025,20:33:53,7.5,380,31.94
20/04/2025,20:33:55,7.51,390,31.94
20/04/2025,20:33:56,7.51,370,31.94
20/04/2025,20:33:58,7.51,390,31.94
20/04/2025,20:34:00,7.51,370,32
20/04/2025,20:34:01,7.51,360,32
20/04/2025,20:34:03,7.51,380,32
20/04/2025,20:34:04,7.52,370,31.94
20/04/2025,20:34:06,7.51,380,32
20/04/2025,20:34:08,7.51,360,31.94
20/04/2025,20:34:09,7.52,370,32
20/04/2025,20:34:11,7.51,360,32
20/04/2025,20:34:12,7.52,370,32
20/04/2025,20:34:14,7.51,360,31.94
20/04/2025,20:34:16,7.51,340,31.94
20/04/2025,20:34:17,7.51,340,31.94
20/04/2025,20:34:19,7.51,320,31.94
20/04/2025,20:34:21,7.51,320,31.94
20/04/2025,20:34:22,7.51,320,32
20/04/2025,20:34:24,7.51,300,31.94
20/04/2025,20:34:25,7.51,300,32
20/04/2025,20:34:27,7.52,290,32
20/04/2025,20:34:29,7.51,310,32
20/04/2025,20:34:30,7.51,280,31.94
20/04/2025,20:34:32,7.51,270,31.94
20/04/2025,20:34:33,7.51,270,31.94
20/04/2025,20:34:35,7.51,260,32
20/04/2025,20:34:37,7.51,270,31.94
20/04/2025,20:34:38,7.51,270,31.94
20/04/2025,20:34:40,7.51,260,31.94
20/04/2025,20:34:41,7.52,270,31.94
20/04/2025,20:34:43,7.52,290,32
20/04/2025,20:34:45,7.51,290,31.94
20/04/2025,20:34:46,7.52,290,31.94
