pH,Do duc (NTU),Nhiet do (°C),Label
5.5,235.73,34.44,Signs of Water Pollution
5.53,235.73,34.5,Safe
5.56,235.73,34.5,Safe
5.59,235.73,34.5,Safe
5.62,238.08,34.44,Safe
5.65,235.73,34.44,Safe
5.68,235.73,34.5,Safe
5.71,235.73,34.44,Safe
5.74,235.73,34.44,Safe
5.77,233.37,34.44,Safe
5.8,235.73,34.44,Safe
5.83,233.37,34.44,Safe
5.86,235.73,34.44,Safe
5.89,235.73,34.5,Safe
5.92,235.73,34.5,Safe
5.95,235.73,34.44,Safe
5.98,235.73,34.44,Safe
6.01,235.73,34.44,Safe
6.04,235.73,34.44,Safe
6.07,235.73,34.44,Safe
6.1,235.73,34.44,Safe
6.13,233.37,34.44,Safe
6.16,235.73,34.44,Safe
6.19,233.37,34.44,Safe
6.22,233.37,34.38,Safe
6.25,233.37,34.38,Safe
6.28,233.37,34.44,Safe
6.31,235.73,34.44,Safe
6.34,233.37,34.44,Safe
6.37,233.37,34.38,Safe
6.4,233.37,34.44,Safe
6.43,233.37,34.38,Safe
6.46,235.73,34.38,Safe
6.49,235.73,34.38,Safe
6.52,235.73,34.38,Safe
6.55,235.73,34.38,Safe
6.58,235.73,34.38,Safe
6.61,235.73,34.38,Safe
6.64,235.73,34.38,Safe
6.67,235.73,34.38,Safe
6.44,233.37,34.38,Safe
6.44,233.37,34.38,Safe
6.44,233.37,34.38,Safe
6.44,235.73,34.38,Safe
6.44,235.73,34.31,Safe
6.44,235.73,34.38,Safe
6.44,235.73,34.31,Safe
6.44,235.73,34.38,Safe
6.44,233.37,34.38,Safe
6.44,233.37,34.38,Safe
6.44,235.73,34.38,Safe
6.44,235.73,34.38,Safe
6.44,235.73,34.38,Safe
6.44,233.37,34.38,Safe
6.44,235.73,34.38,Safe
6.44,233.37,34.38,Safe
6.44,233.37,34.38,Safe
6.44,231.01,34.31,Safe
6.44,233.37,34.38,Safe
6.44,235.73,34.31,Safe
6.44,231.01,34.31,Safe
6.44,235.73,34.38,Safe
6.44,233.37,34.38,Safe
6.44,233.37,34.31,Safe
6.44,233.37,34.31,Safe
6.44,233.37,34.31,Safe
6.44,235.73,34.31,Safe
6.44,233.37,34.31,Safe
6.44,235.73,34.31,Safe
6.44,233.37,34.31,Safe
6.44,233.37,34.31,Safe
6.44,235.73,34.31,Safe
6.44,233.37,34.31,Safe
6.44,233.37,34.31,Safe
6.44,235.73,34.25,Safe
6.44,233.37,34.31,Safe
6.44,233.37,34.31,Safe
6.44,235.73,34.31,Safe
6.44,233.37,34.31,Safe
6.44,233.37,34.31,Safe
6.38,235.73,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.31,Safe
6.38,233.37,34.31,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.31,Safe
6.38,231.01,34.25,Safe
6.38,235.73,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.31,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.25,Safe
6.38,235.73,34.25,Safe
6.38,233.37,34.25,Safe
6.38,235.73,34.31,Safe
6.38,233.37,34.31,Safe
6.38,231.01,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.25,Safe
6.38,233.37,34.25,Safe
6.38,235.73,34.25,Safe
6.38,233.37,34.25,Safe
6.38,235.73,34.25,Safe
6.38,233.37,34.25,Safe
6.38,235.73,34.25,Safe
6.38,233.37,34.19,Safe
6.38,233.37,34.25,Safe
6.38,235.73,34.25,Safe
6.38,233.37,34.19,Safe
6.38,231.01,34.25,Safe
6.38,231.01,34.25,Safe
6.38,233.37,34.25,Safe
6.38,231.01,34.19,Safe
6.4,233.37,34.19,Safe
6.4,233.37,34.25,Safe
6.4,233.37,34.19,Safe
6.4,233.37,34.25,Safe
6.4,235.73,34.19,Safe
6.4,233.37,34.19,Safe
6.4,231.01,34.19,Safe
6.4,233.37,34.19,Safe
6.4,233.37,34.19,Safe
6.4,233.37,34.19,Safe
6.4,233.37,34.19,Safe
6.4,235.73,34.25,Safe
6.4,231.01,34.19,Safe
6.4,235.73,34.19,Safe
6.4,233.37,34.19,Safe
6.4,233.37,34.19,Safe
6.4,231.01,34.19,Safe
6.4,233.37,34.13,Safe
6.4,233.37,34.13,Safe
6.4,235.73,34.19,Safe
6.4,231.01,34.13,Safe
6.4,233.37,34.13,Safe
6.4,233.37,34.13,Safe
6.4,233.37,34.13,Safe
6.4,235.73,34.13,Safe
6.4,233.37,34.13,Safe
6.4,233.37,34.13,Safe
6.4,233.37,34.19,Safe
6.4,233.37,34.13,Safe
6.4,233.37,34.13,Safe
6.4,233.37,34.13,Safe
6.4,233.37,34.19,Safe
6.4,233.37,34.19,Safe
6.4,233.37,34.13,Safe
6.4,231.01,34.13,Safe
6.4,233.37,34.13,Safe
6.4,233.37,34.13,Safe
6.4,231.01,34.13,Safe
6.4,233.37,34.13,Safe
6.4,233.37,34.13,Safe
6.39,233.37,34.13,Safe
6.39,233.37,34.13,Safe
6.39,231.01,34.13,Safe
6.39,233.37,34.13,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.13,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.13,Safe
6.39,231.01,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,231.01,34.13,Safe
6.39,235.73,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,231.01,34.06,Safe
6.39,231.01,34.06,Safe
6.39,233.37,34,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,231.01,34.06,Safe
6.39,231.01,34.06,Safe
6.39,233.37,34.06,Safe
6.39,231.01,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.39,233.37,34.06,Safe
6.32,233.37,34.06,Safe
6.32,233.37,34.06,Safe
6.32,235.73,34.06,Safe
6.32,233.37,34.06,Safe
6.32,233.37,34.06,Safe
6.32,233.37,34.06,Safe
6.32,233.37,34.06,Safe
6.32,233.37,34.06,Safe
6.32,233.37,34.06,Safe
6.32,233.37,34.06,Safe
6.32,233.37,34,Safe
6.32,231.01,34.06,Safe
6.32,233.37,34.06,Safe
6.32,233.37,34.06,Safe
6.32,231.01,34.06,Safe
6.32,233.37,34,Safe
6.32,233.37,34,Safe
6.32,233.37,34,Safe
6.32,231.01,33.94,Safe
6.32,233.37,34,Safe
6.32,235.73,33.94,Safe
6.32,233.37,33.94,Safe
6.32,233.37,33.94,Safe
6.32,233.37,34,Safe
6.32,235.73,33.94,Safe
6.32,233.37,34,Safe
6.32,233.37,34,Safe
6.32,233.37,34,Safe
6.32,233.37,33.94,Safe
6.32,231.01,33.94,Safe
6.32,233.37,34,Safe
6.32,233.37,33.94,Safe
6.32,233.37,33.94,Safe
6.32,231.01,33.94,Safe
6.32,231.01,33.94,Safe
6.32,235.73,34,Safe
6.32,233.37,33.94,Safe
6.32,233.37,33.94,Safe
6.32,231.01,33.94,Safe
6.32,233.37,33.94,Safe
6.31,233.37,33.94,Safe
6.31,231.01,33.94,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.94,Safe
6.31,231.01,33.94,Safe
6.31,233.37,33.94,Safe
6.31,233.37,33.94,Safe
6.31,231.01,33.94,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.94,Safe
6.31,231.01,33.94,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.94,Safe
6.31,233.37,33.94,Safe
6.31,231.01,33.94,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.94,Safe
6.31,231.01,33.88,Safe
6.31,235.73,33.88,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.94,Safe
6.31,233.37,33.94,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.88,Safe
